证券代码,历史简称
600000,"G浦发,浦发银行"
600004,"G穗机场,白云机场"
600006,"S东汽,东风汽车"
600007,"G国贸,中国国贸"
600008,"G首创,首创股份,首创环保"
600009,"上海机场,G沪机场,上海机场"
600010,"包钢股份,G包钢,包钢股份"
600011,"G华能,华能国际"
600012,"G皖通,皖通高速"
600015,"G华夏,华夏银行"
600016,"G民生,民生银行"
600018,上港集团
600019,"G宝钢,宝钢股份"
600020,"G中原,中原高速"
600021,"G上电,上海电力"
600022,"G济钢,济南钢铁,山东钢铁"
600026,"G中海,中海发展,中远海能"
600027,"G华电电,华电国际"
600029,"S南航,南方航空"
600030,"G中信,中信证券"
600031,"G三一,三一重工"
600033,"G闽高速,福建高速"
600035,"S楚高速,楚天高速"
600036,"G招行,招商银行"
600037,"G歌华,歌华有线"
600038,"G哈飞,哈飞股份,中直股份"
600039,"S川路桥,四川路桥"
600048,保利发展
600050,"G联通,中国联通"
600051,"G联合,宁波联合"
600052,"S浙广厦,浙江广厦,*ST广厦,浙江广厦,东望时代"
600053,"ST江纸,*ST江纸,ST江纸,SST江纸,ST江纸,中江地产,九鼎投资"
600054,"G黄山,黄山旅游"
600055,"G万东,万东医疗,华润万东,万东医疗"
600056,"G中技,中技贸易,中国医药"
600057,"ST厦新,厦新电子,夏新电子,G夏新,夏新电子,*ST夏新,象屿股份,厦门象屿"
600058,"龙腾科技,五矿发展,G五矿,五矿发展"
600059,"G龙山,古越龙山"
600060,"G海信,海信电器,海信视像"
600061,"G中纺,中纺投资,国投安信,国投资本"
600062,"G双鹤,双鹤药业,华润双鹤"
600063,"皖维高新,G皖维,皖维高新"
600064,"南京高科,G宁高科,南京高科"
600066,"宇通客车,G宇通,宇通客车"
600067,"福州大通,冠城大通,G冠城,冠城大通"
600070,"G富润,浙江富润,ST富润"
600071,"G光学,凤凰光学,*ST光学,凤凰光学"
600072,"G江南,江南重工,中船股份,钢构工程,*ST钢构,钢构工程,中船科技"
600073,"G梅林,上海梅林"
600075,"G天业,新疆天业,*ST新业,新疆天业"
600076,"青鸟华光,*ST华光,G*ST华光,*ST华光,ST华光,*ST华光,ST华光,*ST华光,青鸟华光,康欣新材"
600077,"国能集团,*ST国能,国能集团,S辽国能,国能集团,百科集团,*ST百科,ST百科,百科集团,宋都股份,*ST宋都"
600078,"澄星股份,G澄星,澄星股份,*ST澄星,ST澄星"
600079,"人福科技,G人福,人福科技,人福医药"
600080,"G金花,金花股份,*ST金花,ST金花,*ST金花,ST金花,金花股份,ST金花,金花股份"
600081,"东风科技,S东风科,东风科技"
600082,"海泰发展,ST海泰,海泰发展,G海泰,海泰发展"
600083,"ST红光,PT红光,ST红光,ST博讯,SST博讯,ST博讯,*ST博讯,*ST博信,ST博信,*ST博信,ST博信,博信股份,*ST博信,博信股份"
600084,"G新天,新天国际,*ST新天,ST新天,ST中葡,*ST中葡,ST中葡,中葡股份,*ST中葡,ST中葡,*ST中葡,中葡股份"
600085,"G同仁堂,同仁堂"
600088,"中视传媒,G中视,中视传媒"
600089,"G特变,特变电工"
600094,"S华源,华源股份,*ST华源(*ST华源B),ST华源(ST华源B),大名城（大名城B）"
600095,"G哈高科,哈高科,湘财股份"
600096,"G云天化,云天化"
600097,"ST恒泰,华立科技,G浙华立,华立科技,开创国际"
600098,"广州控股,G广控,广州控股,广州发展"
600099,"G林海,林海股份"
600100,"G同方,同方股份"
600101,"S明星电,明星电力,*ST明星,明星电力"
600103,"S青纸,青山纸业"
600104,"G上汽,上海汽车,上汽集团"
600105,"G永鼎,永鼎光缆,永鼎股份"
600106,"G渝路桥,重庆路桥"
600107,"S美尔雅,美尔雅"
600108,"G亚盛,亚盛集团"
600109,"ST成百,成都建投,S成建投,成都建投,国金证券"
600110,"中科英华,G英华,中科英华,诺德股份"
600111,"G稀土,稀土高科,包钢稀土,北方稀土"
600112,"G长征,长征电器,长征电气,天成控股,*ST天成,天成控股,ST天成,*ST天成,ST天成"
600113,"G东日,浙江东日"
600114,"G东睦,宁波东睦,东睦股份"
600115,"S东航,东方航空,ST东航,东方航空,中国东航"
600116,"S渝水利,三峡水利"
600117,"G西钢,西宁特钢,*ST西钢"
600118,"中国卫星,G卫星,中国卫星"
600119,"G长投,长江投资,*ST长投,ST长投,长江投资"
600120,"G浙东方,浙江东方"
600121,"G郑煤电,郑州煤电,*ST郑煤,郑州煤电"
600123,"兰花科创,G兰花,兰花科创"
600125,"铁龙物流,G铁龙,铁龙物流"
600126,"G杭钢,杭钢股份"
600127,"S金健,金健米业"
600128,"弘业股份,G弘业,弘业股份"
600129,"G太极,太极集团"
600130,"G波导,波导股份,*ST波导,ST波导,波导股份"
600131,"S岷电,岷江水电,*ST岷电,岷江水电,国网信通"
600132,"G重啤,重庆啤酒"
600133,"S东湖新,东湖高新"
600135,"S乐凯,乐凯胶片"
600136,"*ST道博,S*ST道博,*ST道博,ST道博,道博股份,当代明诚,当代文体,ST明诚,*ST明诚"
600137,"ST包装,长江包装,长江控股,ST长控,*ST长控,ST长控,*ST长控,S*ST长控,*ST长控,*ST浪莎,ST浪莎,浪莎股份"
