标题,内容,发布时间,发布日期,提取证券名称,匹配证券代码
经济日报：不能把抹黑民企当成生意,【经济日报：不能把抹黑民企当成生意】财联社9月21日电，经济日报第五版文章指出，近几年，社会上围绕“两个毫不动摇”时不时出现各种错误言论，尤其是一些网络写手大肆抹黑民营企业和民营企业家，通过变现流量获利丰厚，同时也引发了否定民营经济等舆论风波，“民企敢闯”的号召受到不小影响，干扰了中央大政方针。要给民营经济发展一个良好稳定的预期，为民营企业家营造良好舆论氛围必不可少。接下来，对那些曲解、抹黑民营企业与民营企业家的不实报道、不当言论，职能部门、相关平台应该坚决亮剑、决不姑息。,07:13:50,2023-09-21,经济日报,
改性生物炭可大幅降低汞污染治理成本,【改性生物炭可大幅降低汞污染治理成本】财联社9月21日电，据中国科学院东北地理与农业生态研究所消息，该所科研人员制备出一种改性生物炭，大幅降低了废水中汞污染的治理成本。相关研究论文发表在工程技术领域期刊《燃料》上。,07:08:15,2023-09-21,,
周四（9月21日）重点关注财经事件和经济数据,"【周四（9月21日）重点关注财经事件和经济数据】
①15:30 瑞士央行公布利率决议；
②16:00 瑞士央行行长乔丹召开新闻发布会；
③19:00 英国央行公布利率决议和会议纪要；
④20:30 美国至9月16日当周初请失业金人数；
⑤20:30 美国第二季度经常帐；
⑥20:30 美国9月费城联储制造业指数；
⑦22:00 美国8月成屋销售总数年化；
⑧22:00 美国8月谘商会领先指标月率；
⑨22:00 欧洲央行行长拉加德发表讲话；
⑩ 22:30 美国至9月15日当周EIA天然气库存。",07:03:34,2023-09-21,,
,财联社9月21日电，香港金管局维持基础利率在5.75%不变。,07:01:33,2023-09-21,,
日本对华食品出口暴跌41.2% 创东日本大地震后近12年最大降幅,【日本对华食品出口暴跌41.2% 创东日本大地震后近12年最大降幅】财联社9月21日电，据共同社20日报道，日本财务省当天公布的8月贸易统计初值显示，包括水产品在内的食品对华出口为141.86亿日元（约合7亿元人民币），较去年同期减少41.2%，创下东日本大地震后，近12年最大降幅。日本时事通讯社20日分析称，反对福岛核污染水排海的中国政府，从8月24日开始全面暂停进口日本水产品的影响日益显现。《读卖新闻》认为，中国全面暂停进口日本水产品的影响，今后有可能会进一步扩大。 (环球时报),07:00:44,2023-09-21,,
业内人士：近期相关方出手增持 释放看好银行股估值修复的信号,【业内人士：近期相关方出手增持 释放看好银行股估值修复的信号】财联社9月21日电，活跃资本市场、提振投资者信心，上市银行身体力行、自掏腰包，正在采取积极行动。记者梳理发现，9月以来，多家银行发布公告，透露股东或高管增持公司股份新动向。业内人士认为，近期相关方出手增持，释放看好银行股估值修复的信号。 (中证报),06:55:46,2023-09-21,业内人士,
万亿险资“松闸” 考验创投机构长钱驾驭力,【万亿险资“松闸” 考验创投机构长钱驾驭力】财联社9月21日电，近日，险资下调科创股权投资的风险因子，意味着私募股权创投行业将迎更多“长钱活水”。数据显示，今年以来，险资对股权投资的活跃度较高。业内人士称，保险资金具有长久期的特点，是私募股权创投基金的天然伙伴。从过往投资情况来看，基于对绝对收益的追求，险资在股权投资领域偏好中晚期阶段的成熟项目和企业，行业上更多偏向与保险主业有一定战略协同效应的行业。业内人士认为，险资对科创类企业的布局有待进一步加强。与此同时，伴随着险资入市脚步加快，私募股权创投机构在“投、管、退”上的综合投资能力将迎来更大考验。 (中证报),06:55:01,2023-09-21,,
减肥药板块火热 基金经理积极布局,【减肥药板块火热 基金经理积极布局】财联社9月21日电，近期，A股市场延续震荡态势，之前相对“冷门”的减肥药板块却持续走强。盘面上，常山药业、翰宇药业、圣诺生物、诺泰生物、华东医药等减肥药概念股近期表现喜人。在这些“牛股”的股东名单中，出现了多位知名基金经理管理的公募产品身影。针对近期减肥药板块走势强劲的现象，有业内人士表示，看好国内外市场的需求前景和投资机会，但需要警惕该板块的短期回调压力。 (中证报),06:53:38,2023-09-21,,
A股医药板块反弹 主题基金纷纷“回血”,【A股医药板块反弹 主题基金纷纷“回血”】财联社9月21日电，近期，反复筑底的医药行业迎来较强反弹，包括减肥药、创新药、生物医药、化学制药等板块在多个交易日领涨市场，超30只行业主题基金近一月的净值增长率均超过10%。投资者热议当下的布局“窗口期”，甚至有基金经理表示，要珍惜眼前的“黄金坑”机会。 (中证报),06:52:08,2023-09-21,,
美媒：小行星“贝努”可能在2185年9月撞上地球,【美媒：小行星“贝努”可能在2185年9月撞上地球】财联社9月21日电，美国广播公司20日援引美国国家航空航天局（NASA）消息称，一颗近地小行星可能会在2185年撞上地球。报道称，这颗被命名为“贝努”的小行星于1999年被科学家发现，经过20多年的观测，科学家发现该小行星每6年会贴近地球一次，此前它曾于1999年、2005年和2011年掠过地球附近。科学家推测，“贝努”有可能在2185年9月撞上地球，并产生相当于核武器24倍威力的能量。不过这灾难性一幕发生的概率极低，仅为0.037%，即1/2700。 (环球网),06:50:05,2023-09-21,,
,财联社9月21日电，日本芯片制造商铠侠考虑削减员工数量，以支持公司转向。,06:49:14,2023-09-21,,
经济日报：培养更多优秀职业技能人才,【经济日报：培养更多优秀职业技能人才】财联社9月21日电，经济日报头版文章称，必须清醒认识到，我国已进入人口发展新常态，虽然人口和劳动力规模依然庞大，但总量呈下降趋势，劳动力大龄化特征明显，并存在供需结构性错配等问题。特别是在制造业一线，普工数量不足，高技能人才的求人倍率更是长期保持在2以上。正在爬坡过坎的制造业迫切需要更多素质优良、结构优化、分布合理的现代化人才。对当代劳动者来说，也要适应新时代新要求，紧跟国家需要，努力提高自身技能水平。不论是与毫厘较量的焊接、雕刻、砌筑，还是增材制造、工业机器人、虚拟现实等前沿技术，技能人才素质基础打得牢，现代化产业体系大厦才能盖得高，个人成才成功之路也才能走得好。,06:49:11,2023-09-21,经济日报,
美使馆发言人称美国驻黎巴嫩大使馆附近发生枪击事件,【美使馆发言人称美国驻黎巴嫩大使馆附近发生枪击事件】财联社9月21日电，据路透社当地时间20日报道，美国驻黎巴嫩大使馆发言人杰克·纳尔逊表示，当地时间20日22时37分，美国驻黎巴嫩大使馆入口附近发生枪击事件，暂无人员伤亡。美国使馆方正在与黎巴嫩执法部门保持沟通。 (央视新闻),06:47:30,2023-09-21,,
韩国财长秋庆镐：韩国外汇和金融市场表现出稳定趋势,【韩国财长秋庆镐：韩国外汇和金融市场表现出稳定趋势】财联社9月21日电，韩国财长秋庆镐表示，韩国外汇和金融市场表现出稳定趋势；韩国政府和韩国央行将密切关注市场状况，在必要时采取措施。,06:47:11,2023-09-21,韩国财长秋庆,
企业满负荷生产 钛白粉行业迎消费旺季,【企业满负荷生产 钛白粉行业迎消费旺季】财联社9月21日电，近期，钛白粉企业开启新一轮提价。据机构统计，9月18日-20日，17家钛白粉生产商上调了产品销售价格。业内人士表示，行业迎来消费旺季，不少钛白粉厂商满产赶单交货，多数生产商排单已至10月中旬。 (中证报),06:46:07,2023-09-21,,
,财联社9月21日电，新西兰第二季度GDP环比增长0.9%，预期增长0.4%；新西兰第二季度GDP同比增长1.8%；预期增长1.2%。,06:45:33,2023-09-21,,
业内人士：大宗商品价格年内底部或已出现 未来料呈现震荡向上走势,【业内人士：大宗商品价格年内底部或已出现 未来料呈现震荡向上走势】财联社9月21日电，6月以来，国内大宗商品期货指数涨幅超16%，多类工业品期货涨幅超40%，尤其是原油、铜、铁矿石等化工、有色、钢铁上游原材料价格涨势突出。钢铁产业中，上游品种期货价格涨幅远超下游品种。业内人士认为，供给刚性、投资者规避短期汇率波动风险的行为驱动部分全球性定价较强的商品强势上涨，随着供给趋向宽松、人民币汇率趋稳，此类原材料价格向上空间有限。目前来看，大宗商品价格年内底部或已出现，在需求复苏预期下，未来料呈现震荡向上走势。 (中证报),06:44:22,2023-09-21,业内人士,
专家：9月LPR保持不变符合市场预期 四季度存在下行空间,【专家：9月LPR保持不变符合市场预期 四季度存在下行空间】财联社9月21日电，中国人民银行授权全国银行间同业拆借中心公布，9月20日贷款市场报价利率（LPR）：1年期为3.45%，5年期以上为4.2%，二者均与上期持平。专家表示，9月LPR保持不变符合市场预期，在银行净息差收窄、存量房贷利率调整在即背景下，银行主动进一步压缩加点动力不足。展望四季度，为促进实体经济融资成本稳中有降，助力经济回升向好，LPR存在下行空间。 (中证报),06:40:39,2023-09-21,,
周四你需要知道的隔夜全球要闻,"【周四你需要知道的隔夜全球要闻】
1、美联储联邦基金利率目标维持在5.25%至5.50%的区间不变，符合市场预期。
2、FOMC经济预期显示，上调美国2023年GDP增长预期至2.1%，上调美国2024年GDP增长预期至1.5%。
3、美联储主席鲍威尔表示，不会将软着陆称为基线预期，软着陆是有可能实现的，必须谨慎行事；软着陆是FOMC的主要目标。
4、FOMC声明显示，12位官员预计今年还会加息一次，7位官员预计维持不变。
5、美联储掉期显示交易员将首次降息推迟到明年九月份。
6、欧美股市涨跌不一，纳指跌1.53%，标普500指数跌0.94%，道指跌0.22%。Instacart盘中一度跌穿30美元的美国IPO发行价。欧洲主要股指集体收涨，德国DAX30指数涨0.75%。
7、美国众议院议长麦卡锡表示，不能保证明天会通过权宜开支法案。
8、俄罗斯副总理诺瓦克说，今年俄罗斯石油产量预计为5.27亿吨，天然气产量预计达到6420亿立方米。
9、沙特下调对印度出口石油的溢价。
10、俄罗斯可能会征收与卢布汇率挂钩的新出口税。
11、美国SEC主席表示，政府关门将严重影响SEC对市场的监管。
12、欧盟委员会当地时间20日发布新的能源效率指令，该指令将于20天后生效。
13、国际原油期货结算价跌约1%。WTI原油10月合约跌1.01%，布伦特原油11月合约跌0.95%。
14、英国将禁售汽柴油新车的时间推迟五年至2035年。
15、谷歌称，从10月1日起，所有谷歌云网络标准层的新老客户每月都有资格获得200GB的免费互联网数据传输。
16、《权游》原著作者等多名作家起诉OpenAI侵犯版权。
17、COMEX 12月黄金期货结算价收涨0.68%，COMEX 12月白银期货结算价收涨1.62%。
18、周三美联储隔夜逆回购协议使用规模为1.487万亿美元。",06:31:16,2023-09-21,,
鲁大师：控股股东减持3434万股 占已发行总数的12.7%,【鲁大师：控股股东减持3434万股 占已发行总数的12.7%】财联社9月21日电，鲁大师在港交所公告称，经作出适当查询后，董事会获本公司主要股东诚盛有限公司告知，诚盛今日于公开市场自愿出售3434.3万股股份，占本公告日期已发行股份总数约12.77%。公司预期出售事项将不会对本公司之业务营运及管理层组成产生任何重大影响。鲁大师20日收跌超47%，股价1港元。,06:27:46,2023-09-21,鲁大师,
中远集团控股：媒体关于袁荣辉收购公司17.248亿股的报道失实,【中远集团控股：媒体关于袁荣辉收购公司17.248亿股的报道失实】财联社9月21日电，中远集团控股联交所公告，本公司注意到，有媒体报道提及袁荣辉先生于9月13日以每股1.00港元的代价收购本公司17.248亿股每股0.01港元的股份，而该报道内容有失准确且失实。经与袁先生及徐柯先生作进一步澄清后，本公司谨此澄清，袁先生并非直接收购股份，而是于9月13日以每股1.00港元的现金代价（即合共10港元）向徐先生收购龙盛集团有限公司的十(10)股股份（相当于龙盛的全部已发行股本）。龙盛为一间有限责任公司，持有17.248亿股股份（相当于本公司已发行股本的约10.29%）。,06:22:42,2023-09-21,中远集团控股,
日本首相岸田文雄：下周将宣布应对通胀和人口下降的措施,【日本首相岸田文雄：下周将宣布应对通胀和人口下降的措施】财联社9月21日电，日本首相岸田文雄表示，将侧重于结构性涨薪和投资；日本经济目前仍未完全稳定；下周将宣布的经济措施中将包括应对通胀的措施以及应对人口下降的社会措施。,06:15:49,2023-09-21,日本首相岸田,
我国海事系统大型海道测量船“海巡08”轮今将列编,【我国海事系统大型海道测量船“海巡08”轮今将列编】财联社9月21日电，交通运输部海事局大型海道测量船“海巡08”轮今天（21日）在上海正式列编交通运输部东海航海保障中心。这标志着海事系统目前规模最大、装备最先进、综合能力最强的大型专业测量船正式投入使用。,06:14:08,2023-09-21,,
中央气象台9月21日06时继续发布大风黄色预警,【中央气象台9月21日06时继续发布大风黄色预警】财联社9月21日电，中央气象台9月21日06时继续发布大风黄色预警：预计，9月21日08时至22日08时，新疆东部、西藏西部、青海西部、甘肃西部等地部分地区将有5～6级、阵风7级的风；黄海中东部和东南部海域将有7~8级、阵风9～10级的大风，其中部分海域风力可达9级、阵风10～11级。,06:04:47,2023-09-21,,
,财联社9月21日电，美国总统拜登表示，未来几天将宣布有关应对气候变化的消息。,05:49:52,2023-09-21,,
巴西央行降息50个基点,【巴西央行降息50个基点】财联社9月21日电，巴西央行降息50个基点，将基准利率从13.25%降至12.75%，符合预期。巴西央行称，关键利率决定获得央行官员们一致同意，预计下次政策会议将实施同样幅度的降息。该央行将2023年、2024年和2025年CPI预期分别上调至5.0%、3.5%和3.1%。,05:39:11,2023-09-21,,
机构人士：随着改革措施多管齐下 北交所的投资价值正逐渐显现,【机构人士：随着改革措施多管齐下 北交所的投资价值正逐渐显现】财联社9月21日电，北交所上市公司迎来机构密集调研。据统计，截至19日，9月以来已有28家北交所上市公司获得机构调研，而8月同期获调研的公司仅有10家，调研数量环比增加了近两倍。机构调研的关注点主要聚焦于北交所政策变化对于公司的业务影响上，更有机构投资者直接提问“公司是否有转板计划”。机构人士认为，随着改革措施多管齐下，北交所的投资价值正逐渐显现。通过改革，预计北交所个人投资者规模或显著增长，市场整体流动性将有较大提升；同时，北证50指数中低估值企业、高成长专精特新“小巨人”企业及有转板预期的北交所公司，或蕴含新一轮重估机会。 (上证报),05:23:46,2023-09-21,机构人士,
,财联社9月21日电，巴拉圭央行将关键利率从8.25%下调25个基点至8.0%。,05:19:37,2023-09-21,,
离岸人民币兑美元较周二纽约尾盘跌38点,【离岸人民币兑美元较周二纽约尾盘跌38点】财联社9月21日电，离岸人民币（CNH）兑美元北京时间04:59报7.3074元，较周二纽约尾盘跌38点，盘中整体交投于7.2885-7.3159元区间。,05:17:55,2023-09-21,,
业内人士：经过前期调整 光伏、半导体、消费电子、人工智能等领域的优质企业迎来布局良机,【业内人士：经过前期调整 光伏、半导体、消费电子、人工智能等领域的优质企业迎来布局良机】财联社9月21日电，9月以来市场维持震荡态势，但百亿级私募却积极做多。私募排排网最新数据显示，截至9月8日，百亿级私募仓位指数超85%，创今年以来新高，满仓（仓位＞80%）的百亿级私募占比超过六成。从投资方向来看，低估值成长股备受青睐。上市公司不定期披露信息显示，部分百亿级私募三季度加仓了光伏、计算机等领域的低估值标的。业内人士表示，经过前期调整，光伏、半导体、消费电子、人工智能等领域的优质企业迎来布局良机。 (上证报),05:05:25,2023-09-21,业内人士,
