,A股代码,证券简称,总股本,流通股本,上市日期,所属行业,地区,报告日期,交易所,板块
0,430017,星昊医药,122577200,63055240,2023-05-31,医药制造业,北京市,2023-09-20,北交所,北交所
1,430047,诺思兰德,258767903,187541740,2020-11-24,医药制造业,北京市,2023-09-20,北交所,北交所
2,430090,同辉信息,199333546,171874093,2021-08-09,软件和信息技术服务业,北京市,2023-09-20,北交所,北交所
3,430139,华岭股份,266800000,132582216,2022-10-28,计算机、通信和其他电子设备制造业,上海市,2023-09-20,北交所,北交所
4,430198,微创光电,161363872,63131116,2020-07-27,计算机、通信和其他电子设备制造业,湖北省,2023-09-20,北交所,北交所
5,430300,辰光医疗,85847126,52228109,2022-12-07,专用设备制造业,上海市,2023-09-20,北交所,北交所
6,430418,苏轴股份,96720000,51142517,2020-07-27,通用设备制造业,江苏省,2023-09-20,北交所,北交所
7,430425,乐创技术,36192117,18959617,2023-01-30,软件和信息技术服务业,四川省,2023-09-20,北交所,北交所
8,430476,海能技术,86085280,60712340,2022-10-14,仪器仪表制造业,山东省,2023-09-20,北交所,北交所
9,430478,峆一药业,40157500,19217524,2023-02-23,医药制造业,安徽省,2023-09-20,北交所,北交所
10,430489,佳先股份,136459200,84130269,2020-07-27,化学原料和化学制品制造业,安徽省,2023-09-20,北交所,北交所
11,430510,丰光精密,131581378,62926378,2020-12-28,金属制品业,山东省,2023-09-20,北交所,北交所
12,430556,雅达股份,161315200,71991854,2023-03-17,仪器仪表制造业,广东省,2023-09-20,北交所,北交所
13,430564,天润科技,73905018,20195635,2022-06-17,软件和信息技术服务业,陕西省,2023-09-20,北交所,北交所
14,430685,新芝生物,91515941,44584441,2022-10-10,仪器仪表制造业,浙江省,2023-09-20,北交所,北交所
15,430718,合肥高科,90666700,24392100,2022-12-22,电气机械和器材制造业,安徽省,2023-09-20,北交所,北交所
16,830779,武汉蓝电,57200000,12173201,2023-06-01,仪器仪表制造业,湖北省,2023-09-20,北交所,北交所
17,830799,艾融软件,210369300,117553889,2020-07-27,软件和信息技术服务业,上海市,2023-09-20,北交所,北交所
18,830809,安达科技,611510821,306643148,2023-03-23,电气机械和器材制造业,贵州省,2023-09-20,北交所,北交所
19,830832,齐鲁华信,138763865,124853604,2021-02-23,化学原料和化学制品制造业,山东省,2023-09-20,北交所,北交所
20,830839,万通液压,119342500,64381375,2020-11-09,通用设备制造业,山东省,2023-09-20,北交所,北交所
21,830879,基康仪器,139497776,52437437,2022-12-20,仪器仪表制造业,北京市,2023-09-20,北交所,北交所
22,830896,旺成科技,101224240,20699000,2023-04-19,通用设备制造业,重庆市,2023-09-20,北交所,北交所
23,830946,森萱医药,426918340,426730840,2020-07-27,医药制造业,江苏省,2023-09-20,北交所,北交所
24,830964,润农节水,261208000,174644093,2020-07-27,橡胶和塑料制品业,河北省,2023-09-20,北交所,北交所
25,830974,凯大催化,163800000,104923396,2023-03-08,化学原料和化学制品制造业,浙江省,2023-09-20,北交所,北交所
