,A股代码,证券简称,证券全称,上市日期,板块,B股代码,交易所
0,600000,浦发银行,上海浦东发展银行股份有限公司,1999-11-10,主板A股,,上交所
1,600004,白云机场,广州白云国际机场股份有限公司,2003-04-28,主板A股,,上交所
2,600006,东风汽车,东风汽车股份有限公司,1999-07-27,主板A股,,上交所
3,600007,中国国贸,中国国际贸易中心股份有限公司,1999-03-12,主板A股,,上交所
4,600008,首创环保,北京首创生态环保集团股份有限公司,2000-04-27,主板A股,,上交所
5,600009,上海机场,上海国际机场股份有限公司,1998-02-18,主板A股,,上交所
6,600010,包钢股份,内蒙古包钢钢联股份有限公司,2001-03-09,主板A股,,上交所
7,600011,华能国际,华能国际电力股份有限公司,2001-12-06,主板A股,,上交所
8,600012,皖通高速,安徽皖通高速公路股份有限公司,2003-01-07,主板A股,,上交所
9,600015,华夏银行,华夏银行股份有限公司,2003-09-12,主板A股,,上交所
10,600016,民生银行,中国民生银行股份有限公司,2000-12-19,主板A股,,上交所
11,600017,日照港,日照港股份有限公司,2006-10-17,主板A股,,上交所
12,600018,上港集团,上海国际港务(集团)股份有限公司,2000-07-19,主板A股,,上交所
13,600019,宝钢股份,宝山钢铁股份有限公司,2000-12-12,主板A股,,上交所
14,600020,中原高速,河南中原高速公路股份有限公司,2003-08-08,主板A股,,上交所
15,600021,上海电力,上海电力股份有限公司,2003-10-29,主板A股,,上交所
16,600022,山东钢铁,山东钢铁股份有限公司,2004-06-29,主板A股,,上交所
17,600023,浙能电力,浙江浙能电力股份有限公司,2013-12-19,主板A股,,上交所
18,600025,华能水电,华能澜沧江水电股份有限公司,2017-12-15,主板A股,,上交所
19,600026,中远海能,中远海运能源运输股份有限公司,2002-05-23,主板A股,,上交所
20,600027,华电国际,华电国际电力股份有限公司,2005-02-03,主板A股,,上交所
21,600028,中国石化,中国石油化工股份有限公司,2001-08-08,主板A股,,上交所
22,600029,南方航空,中国南方航空股份有限公司,2003-07-25,主板A股,,上交所
23,600030,中信证券,中信证券股份有限公司,2003-01-06,主板A股,,上交所
24,600031,三一重工,三一重工股份有限公司,2003-07-03,主板A股,,上交所
25,600032,浙江新能,浙江省新能源投资集团股份有限公司,2021-05-25,主板A股,,上交所
26,600033,福建高速,福建发展高速公路股份有限公司,2001-02-09,主板A股,,上交所
27,600035,楚天高速,湖北楚天智能交通股份有限公司,2004-03-10,主板A股,,上交所
28,600036,招商银行,招商银行股份有限公司,2002-04-09,主板A股,,上交所
29,600037,歌华有线,北京歌华有线电视网络股份有限公司,2001-02-08,主板A股,,上交所
30,600038,中直股份,中航直升机股份有限公司,2000-12-18,主板A股,,上交所
31,600039,四川路桥,四川路桥建设集团股份有限公司,2003-03-25,主板A股,,上交所
32,600048,保利发展,保利发展控股集团股份有限公司,2006-07-31,主板A股,,上交所
33,600050,中国联通,中国联合网络通信股份有限公司,2002-10-09,主板A股,,上交所
34,600051,宁波联合,宁波联合集团股份有限公司,1997-04-10,主板A股,,上交所
35,600052,东望时代,浙江东望时代科技股份有限公司,1997-04-15,主板A股,,上交所
36,600053,九鼎投资,昆吾九鼎投资控股股份有限公司,1997-04-18,主板A股,,上交所
37,600054,黄山旅游,黄山旅游发展股份有限公司,1997-05-06,主板A股,,上交所
38,600055,万东医疗,北京万东医疗科技股份有限公司,1997-05-19,主板A股,,上交所
39,600056,中国医药,中国医药健康产业股份有限公司,1997-05-15,主板A股,,上交所
40,600057,厦门象屿,厦门象屿股份有限公司,1997-06-04,主板A股,,上交所
