,板块,A股代码,证券简称,上市日期,总股本,流通股本,所属行业,B股代码,交易所
0,主板,000001,平安银行,1991-04-03,"19,405,918,198","19,405,546,950",J 金融业,,深交所
1,主板,000002,万  科Ａ,1991-01-29,"9,724,196,533","9,716,577,665",K 房地产,,深交所
2,主板,000004,国华网安,1990-12-01,"132,380,282","126,288,093",I 信息技术,,深交所
3,主板,000005,ST星源,1990-12-10,"1,058,536,842","1,057,875,742",N 公共环保,,深交所
4,主板,000006,深振业Ａ,1992-04-27,"1,349,995,046","1,349,987,396",K 房地产,,深交所
5,主板,000007,*ST全新,1992-04-13,"346,448,044","308,948,044",K 房地产,,深交所
6,主板,000008,神州高铁,1992-05-07,"2,716,377,683","2,675,949,260",C 制造业,,深交所
7,主板,000009,中国宝安,1991-06-25,"2,579,213,965","2,551,430,324",S 综合,,深交所
8,主板,000010,美丽生态,1995-10-27,"1,058,692,292","522,171,498",E 建筑业,,深交所
9,主板,000011,深物业A,1992-03-30,"528,373,849","526,475,543",K 房地产,,深交所
10,主板,000012,南  玻Ａ,1992-02-28,"1,961,323,047","1,956,966,398",C 制造业,,深交所
11,主板,000014,沙河股份,1992-06-02,"242,046,224","242,046,224",K 房地产,,深交所
12,主板,000016,深康佳Ａ,1992-03-27,"1,596,593,800","1,596,579,175",C 制造业,,深交所
13,主板,000017,深中华A,1992-03-31,"440,821,951","302,984,965",C 制造业,,深交所
14,主板,000019,深粮控股,1992-10-12,"1,100,785,974","416,216,407",F 批发零售,,深交所
15,主板,000020,深华发Ａ,1992-04-28,"181,165,391","181,165,391",C 制造业,,深交所
16,主板,000021,深科技,1994-02-02,"1,560,587,588","1,560,198,713",C 制造业,,深交所
17,主板,000023,ST深天,1993-04-29,"138,756,240","138,756,240",C 制造业,,深交所
18,主板,000025,特  力Ａ,1993-06-21,"392,778,320","392,778,320",F 批发零售,,深交所
19,主板,000026,飞亚达,1993-06-03,"365,330,033","362,553,413",F 批发零售,,深交所
20,主板,000027,深圳能源,1993-09-03,"4,757,389,916","4,757,389,916",D 水电煤气,,深交所
21,主板,000028,国药一致,1993-08-09,"485,213,797","478,053,712",F 批发零售,,深交所
22,主板,000029,深深房Ａ,1993-09-15,"891,660,000","891,650,850",K 房地产,,深交所
23,主板,000030,富奥股份,1993-09-29,"1,693,824,170","1,692,209,461",C 制造业,,深交所
24,主板,000031,大悦城,1993-10-08,"4,286,313,339","4,002,887,169",K 房地产,,深交所
25,主板,000032,深桑达Ａ,1993-10-28,"1,137,959,234","644,763,811",E 建筑业,,深交所
26,主板,000034,神州数码,1994-05-09,"669,581,480","550,276,520",F 批发零售,,深交所
27,主板,000035,中国天楹,1994-04-08,"2,523,777,297","2,453,345,376",N 公共环保,,深交所
28,主板,000036,华联控股,1994-06-17,"1,483,934,025","1,480,828,283",K 房地产,,深交所
29,主板,000037,深南电A,1994-07-01,"338,908,150","338,867,556",D 水电煤气,,深交所
30,主板,000039,中集集团,1994-04-08,"2,302,682,490","2,301,407,141",C 制造业,,深交所
31,主板,000040,东旭蓝天,1994-08-08,"1,486,873,870","1,060,340,670",D 水电煤气,,深交所
32,主板,000042,中洲控股,1994-09-21,"664,831,139","663,989,377",K 房地产,,深交所
33,主板,000045,深纺织Ａ,1994-08-15,"457,021,849","457,021,849",C 制造业,,深交所
34,主板,000046,*ST泛海,1994-09-12,"5,196,200,656","5,170,431,306",J 金融业,,深交所
35,主板,000048,京基智农,1994-11-01,"523,239,250","523,239,250",C 制造业,,深交所
36,主板,000049,德赛电池,1995-03-20,"299,386,862","299,278,116",C 制造业,,深交所
37,主板,000050,深天马Ａ,1995-03-15,"2,457,747,661","2,375,794,164",C 制造业,,深交所
38,主板,000055,方大集团,1996-04-15,"679,715,472","675,854,429",C 制造业,,深交所
39,主板,000056,皇庭国际,1996-07-08,"966,853,708","903,728,783",L 商务服务,,深交所
40,主板,000058,深 赛 格,1996-12-26,"984,739,354","984,696,604",L 商务服务,,深交所
41,主板,000059,华锦股份,1997-01-30,"1,599,442,537","1,599,405,037",C 制造业,,深交所
42,主板,000060,中金岭南,1997-01-23,"3,737,586,804","3,737,305,554",C 制造业,,深交所
43,主板,000061,农 产 品,1997-01-10,"1,696,964,131","1,696,932,506",L 商务服务,,深交所
44,主板,000062,深圳华强,1997-01-30,"1,045,909,322","1,044,547,851",F 批发零售,,深交所
45,主板,000063,中兴通讯,1997-11-18,"4,027,744,518","4,027,016,275",C 制造业,,深交所
46,主板,000065,北方国际,1998-06-05,"1,001,778,884","905,355,298",E 建筑业,,深交所
47,主板,000066,中国长城,1997-06-26,"3,225,799,088","3,146,793,277",C 制造业,,深交所
48,主板,000068,华控赛格,1997-06-11,"1,006,671,464","1,006,671,464",M 科研服务,,深交所
49,主板,000069,华侨城Ａ,1997-09-10,"8,201,793,915","7,056,455,919",K 房地产,,深交所
50,主板,000070,特发信息,2000-05-11,"900,344,760","888,578,626",C 制造业,,深交所
51,主板,000078,海王生物,1998-12-18,"2,750,833,257","2,626,073,638",F 批发零售,,深交所
52,主板,000088,盐 田 港,1997-07-28,"2,249,161,747","2,249,135,473",G 运输仓储,,深交所
53,主板,000089,深圳机场,1998-04-20,"2,050,769,509","2,050,742,403",G 运输仓储,,深交所
54,主板,000090,天健集团,1999-07-21,"1,868,545,434","1,868,459,934",E 建筑业,,深交所
55,主板,000096,广聚能源,2000-07-24,"528,000,000","510,848,000",F 批发零售,,深交所
56,主板,000099,中信海直,2000-07-31,"775,770,137","710,215,136",G 运输仓储,,深交所
57,主板,000100,TCL科技,2004-01-30,"18,779,080,767","18,098,541,554",C 制造业,,深交所
58,主板,000151,中成股份,2000-09-06,"337,370,728","266,543,967",F 批发零售,,深交所
59,主板,000153,丰原药业,2000-09-20,"332,111,230","311,977,230",C 制造业,,深交所
60,主板,000155,川能动力,2000-09-26,"1,475,926,818","1,296,929,045",D 水电煤气,,深交所
61,主板,000156,华数传媒,2000-09-06,"1,852,932,442","1,565,055,111",R 文化传播,,深交所
62,主板,000157,中联重科,2000-10-12,"7,096,027,688","7,066,092,622",C 制造业,,深交所
63,主板,000158,常山北明,2000-07-24,"1,598,616,721","1,584,265,499",I 信息技术,,深交所
64,主板,000159,国际实业,2000-09-26,"480,685,993","480,643,918",F 批发零售,,深交所
65,主板,000166,申万宏源,2015-01-26,"22,535,944,560","22,535,507,316",J 金融业,,深交所
66,主板,000301,东方盛虹,2000-05-29,"6,611,213,077","5,497,010,179",C 制造业,,深交所
67,主板,000333,美的集团,2013-09-18,"7,030,403,112","6,889,344,168",C 制造业,,深交所
68,主板,000338,潍柴动力,2007-04-30,"6,783,516,821","5,046,201,144",C 制造业,,深交所
69,主板,000400,许继电气,1997-04-18,"1,019,009,309","1,008,306,159",C 制造业,,深交所
70,主板,000401,冀东水泥,1996-06-14,"2,658,214,631","1,547,299,781",C 制造业,,深交所
71,主板,000402,金 融 街,1996-06-26,"2,988,929,907","2,987,698,630",K 房地产,,深交所
72,主板,000403,派林生物,1996-06-28,"732,645,729","636,876,243",C 制造业,,深交所
73,主板,000404,长虹华意,1996-06-19,"695,995,979","694,843,822",C 制造业,,深交所
74,主板,000407,胜利股份,1996-07-03,"880,084,656","875,767,412",D 水电煤气,,深交所
75,主板,000408,藏格矿业,1996-06-28,"1,580,435,073","1,580,418,573",C 制造业,,深交所
76,主板,000409,云鼎科技,1996-06-27,"664,210,505","423,373,245",I 信息技术,,深交所
